2018-02-27 19:05:38,280 [Thread-3] INFO  marytts.main Mary starting up...
2018-02-27 19:05:38,300 [Thread-3] INFO  marytts.main Specification version 5.2
2018-02-27 19:05:38,300 [Thread-3] INFO  marytts.main Implementation version unknown
2018-02-27 19:05:38,300 [Thread-3] INFO  marytts.main Running on a Java 9.0.4 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2018-02-27 19:05:38,481 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2018-02-27 19:05:38,496 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2018-02-27 19:05:38,497 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2018-02-27 19:05:38,498 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2018-02-27 19:05:38,498 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2018-02-27 19:05:38,498 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2018-02-27 19:05:38,499 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2018-02-27 19:05:38,500 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2018-02-27 19:05:38,500 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2018-02-27 19:05:38,502 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2018-02-27 19:05:38,504 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2018-02-27 19:05:38,505 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2018-02-27 19:05:38,506 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2018-02-27 19:05:38,507 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2018-02-27 19:05:38,507 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2018-02-27 19:05:38,508 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2018-02-27 19:05:38,510 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2018-02-27 19:05:38,512 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2018-02-27 19:05:38,513 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2018-02-27 19:05:38,771 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2018-02-27 19:05:38,773 [Thread-3] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2018-02-27 19:05:38,820 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2018-02-27 19:05:38,820 [Thread-3] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2018-02-27 19:05:38,857 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2018-02-27 19:05:38,858 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2018-02-27 19:05:38,858 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2018-02-27 19:05:38,859 [Thread-3] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2018-02-27 19:05:38,862 [Thread-3] INFO  marytts.UnitSelectionSynthesizer started.
2018-02-27 19:05:38,863 [Thread-3] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2018-02-27 19:05:38,863 [Thread-3] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2018-02-27 19:05:38,916 [Thread-3] INFO  marytts.HMMData Loading Tree Set in CARTs:
2018-02-27 19:05:38,967 [Thread-3] INFO  marytts.HMMData Loading GV Model Set:
2018-02-27 19:05:39,098 [Thread-3] INFO  marytts.Voice Registering voice `cmu-rms-hsmm': male, locale en_US
2018-02-27 19:05:39,098 [Thread-3] INFO  marytts.Voice New default voice for locale en_US: cmu-rms-hsmm (desire 0)
2018-02-27 19:05:39,102 [Thread-3] INFO  marytts.HMMData Loading Tree Set in CARTs:
2018-02-27 19:05:39,128 [Thread-3] INFO  marytts.HMMData Loading GV Model Set:
